SAMPLENUM,STATION,SAMPLETYPE,QA_LINK,SPLIT,SPLITFACTOR,ANALYST,ANALYSTDATE,SCOPE_USED,POWER_USED,COMBO,SPECCODE,SUBGROUP,GROUP,LENGTH,SEX,ORGANISMCOUNT,COMMENT,,,,,,,,,
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Daphnia galeata mendotae,DAPGALEM,DAP ,CLA,2.081,NA,1,,,,,,,,,,
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.545,NA,1,,,,Sum of ORGANISMCOUNT,Column Labels,,,,,
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,1.043,F,1,,,,Row Labels,A,B,C,D,(blank),Grand Total
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,1.06,F,1,,,,Bosmina longirostris,1,0,0,,,1
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,1.143,F,1,,,,Cyclops copepodites,36,51,,,,87
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Cyclops copepodites,CYCCOPE,CYCIMM,IMM,0.949,NA,1,,,,Daphnia galeata mendotae,2,1,2,,,5
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,1.094,F,1,,,,Daphnia spp.,1,0,0,,,1
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.689,NA,1,,,,Diacyclops thomasi,70,89,,,,159
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.969,M,1,,,,Diaptomus copepodites,61,70,,,,131
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.69,NA,1,,,,Leptodiaptomus ashlandi,82,54,,,,136
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus minutus,LEOMINU,CAL,COP,0.925,M,1,,,,Leptodiaptomus minutus,36,46,,,,82
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.909,NA,1,,,,Leptodiaptomus sicilis,5,1,10,,,16
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,0.813,M,1,,,,Limnocalanus copepodites,7,12,17,,,36
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus sicilis,LEOSICI,CAL,COP,1.741,F,1,,,,Limnocalanus macrurus,0,0,1,2,,3
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.584,NA,1,,,,Senecella calanoides,0,0,0,1,,1
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.886,M,1,,,,Skistodiaptomus oregonensis,2,5,7,,,14
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,0.989,F,1,,,,Tropocyclops prasinus mexicanus,0,1,1,,,2
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Leptodiaptomus ashlandi,LEOASHL,CAL,COP,1.052,F,1,,,,(blank),,,,,,
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diacyclops thomasi,DIYTHOM,CYC ,COP,1.044,F,1,,,,Grand Total,303,330,38,3,,674
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.812,NA,1,,,,,,,,,,
24GM00I73,MI 19,D100,-1,A,128,LEW,9/4/2024,GARNEAU,30X,Diaptomus copepodites,DIACOPE,CALIMM,IMM,0.844,NA,1,,,,Before,Calibration,1.005,,,,
